Vendor Name,,,,,,,
10647802 CANADA,,BS,,,,,SI = System Integrator
1E,,BS,,,,,BS = Body Shops
2KEYS,,BS,,,,,? - Will to google
3M CANADA COMPANY,,BS,,,,,LC = PS for licenses
49 SOLUTIONS,,BS,,,,,
529040 ONTARIO 880382 ONTARIO,,BS,,,,,
529040 ONTARIO AND 880382,,BS,,,,,
9468269 CANADA,,BS,,,,,
ACART COMMUNICATIONS,,?,,,,,
ACCENTURE,,SI,,,,,
ACCESS 2 NETWORKS,,?,,,,,
ACOSYS CONSULTING SERVICES,,BS,,,,,
ACOSYS CONSULTING SERVICES PRICEWATERHOUSE COOPERS,,BS,,,,,
ACTION PERSONNEL OF OTTAWA HULL,,BS,,,,,
ADGA GROUP,,? I think BS,,,,,
ADOBE,,LC,,,,,
ADRM TECHNOLOGY AND RANDSTAD IN JV,,BS,,,,,
ADRM TECHNOLOGY CONSULTING,,BS,,,,,
ADVANCED CHIPPEWA TECHNOLOGIES,,?,,,,,
AECOM,,BS,,,,,
AEROPORT DE QUEBEC,,BS,,,,,
AIRBUS,,LC,,,,,
ALGONQUIN COLLEGE,,BS,,,,,
ALIKA INTERNET TECHNOLOGIES,,BS,,,,,
ALINEA INTERNATIONAL,,BS,,,,,
ALIVAKTUK CONSULTING,,BS,,,,,
ALIVAKTUK CONSULTING NAVPOIN,,BS,,,,,
ALTIS HUMAN RESOURCES,,BS,,,,,
AMAZON,,LC,,,,,
APPLIED ELECTONICS,,BS,,,,,
APPTION,,BS,,,,,
AQUATIC INFORMATICS,,BS,,,,,
ARIS GLOBAL,,BS,,,,,
ARTEMP PERSONNEL SERVICES,,BS,,,,,
AVI SPL,,BS,,,,,
BABEL STREET,,BS,,,,,
BANCTEC CANADA,,BS,,,,,
BANFIELD SEGUIN,,BS,,,,,
BDO CANADA,,SI,,,,,
BELL CANADA,,SI,,,,,
BEYOND TECHNOLOGIES CONSULTING,,? I think they do both. ,,,,,
BITS IN GLASS,,BS,,,,,
BLACKBERRY,,LC,,,,,
BLOOMBERG FINANCE L P,,?,,,,,
BLUMETRIC ENVIRONMENTAL,,BS,,,,,
BMC SOFTWARE CANADA,,LC,,,,,
BMT FLEET TECHNOLOGY,,LC,,,,,
BOSTON CONSULTING GROUP,,BS,,,,,
BOUTHILLETTE PARIZEAU,,BS,,,,,
BRECKENHILL,,BS,,,,,
BRYCA SOLUTIONS,,BS,,,,,
C CORE,,BS,,,,,
CA,,BS,,,,,
CACHE COMPUTER CONSULTING,,BS,,,,,
CAE,,BS,,,,,
CALIAN,,SI,,,,,
CANADA POST,,SI,,,,,
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,,BS,,,,,
CANADIAN CORPS OF COMMISSIONAIRES,,BS,,,,,
CANADIAN DEVELOPMENT CONSULTANTS,,BS,,,,,
CANADIAN RED CROSS,,BS,,,,,
CANADIAN STANDARDS ASSOCIATION,,BS,,,,,
CANON,,BS,,,,,
CARAHSOFT TECHNOLOGY,,BS,,,,,
CARLETON UNIVERSITY,,BS,,,,,
CARON PROFESSIONAL LINGUISTIC,,BS,,,,,
CBC,,BS,,,,,
CBCI TELECOM,,BS,,,,,
CBCL,,BS,,,,,
CDCI RESEARCH,,BS,,,,,
CDW CANADA,,BS,,,,,
CERIDIAN,,LC,,,,,
CGI,,SI,,,,,
CHEMICAL ABSTRACTS SERVICE,,BS,,,,,
CIMA,,BS,,,,,
CISION CANADA,,LC,,,,,
CISTEL TECHNOLOGY,,LC,,,,,
CITRIX,,LC,,,,,
CLICK NETWORKS,,BS,,,,,
CLOSEREACH,,BS,,,,,
CLOUD SYNAPPS,,BS,,,,,
CO VEN,,BS,,,,,
COFOMO,,BS,,,,,
COLLIERS PROJECT LEADERS,,BS,,,,,
COMBAT NETWORKS,,BS,,,,,
COMNET NETWORKS AND SECURITY,,BS,,,,,
COMPUCOM CANADA,,BS,,,,,
COMPUGEN,,BS,,,,,
COMPUSULT,,BS,,,,,
CONEXSYS,,BS,,,,,
CONFLUENCE CONSULTING,,BS,,,,,
CONNEX TELECOMMUNICATIONS,,BS,,,,,
CONOSCENTI TECHNOLOGIES,,BS,,,,,
CONSTRUCTION CPB,,BS,,,,,
CONTRACT COMMUNITY,,BS,,,,,
CONVERGINT TECHNOLOGIES,,BS,,,,,
CORADIX TECHNOLOGY CONSULTING,,BS,,,,,
CORBEL MANAGEMENT,,BS,,,,,
CORETRACKS CLARITY CA,,BS,,,,,
COSSETTE COMMUNICATIONS,,BS,,,,,
CPCS TRANSCOM,,BS,,,,,
CYTELLIGENCE,,BS,,,,,
D F S,,BS,,,,,
D2L,,BS,,,,,
D4IS SOLUTIONS,,BS,,,,,
DALHOUSIE UNIVERSITY,,BS,,,,,
DALIAN ENTERPRISES,,BS,,,,,
DARE HUMAN RESOURCES,,BS,,,,,
DATA CENTRE INTELLIGENCE,,BS,,,,,
DECISIVE GROUP,,BS,,,,,
DELCO AUTOMATION,,BS,,,,,
DELL COMPUTER,,LC,,,,,
DELOITTE,,SI,,,,,
DEV HOTEL CONFERENCE CENTRE,,BS,,,,,
DEXTERRA,,BS,,,,,
DILLON CONSULTING,,BS,,,,,
DLS TECHNOLOGY,,BS,,,,,
DMTI SPATIAL,,BS,,,,,
DOLOMITE NETWORKS,,BS,,,,,
DONNA CONA,,BS,,,,,
DONNA CONA IBM CANADA IN JV,,BS,,,,,
DWP SOLUTIONS,,BS,,,,,
DYNABOOK CANADA,,BS,,,,,
DYNAMIC PERSONNEL CONSULTANTS,,BS,,,,,
EAGLE PROFESSIONAL RESOURCES,,BS,,,,,
EBSCO CANADA,,BS,,,,,
ECLIPSYS SOLUTIONS,,BS,,,,,
ECOLE DE LANGUES ABCE,,BS,,,,,
ECOLE DE LANGUES LA CITE,,BS,,,,,
EKOS RESEARCH ASSOCIATES,,BS,,,,,
ELLISDON,,BS,,,,,
ELSEVIER,,BS,,,,,
EMCON SERVICES,,BS,,,,,
EMERION COFOMO FMC,,BS,,,,,
EMPOWERED NETWORKS,,BS,,,,,
EMTEC,,BS,,,,,
ENGLOBE,,BS,,,,,
ENTRUST,,BS,,,,,
ENVIRONICS RESEARCH GROUP,,BS,,,,,
EPERFORMANCE,,BS,,,,,
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,,BS,,,,,
EQUINIX OTTAWA GOVERNMENT,,BS,,,,,
ERNST YOUNG,,SI,,,,,
ESRI,,LC,,,,,
ETICO,,BS,,,,,
EVALUATION PERSONNEL SELECTION,,BS,,,,,
EXCEL HUMAN RESOURCES,,BS,,,,,
EXPERIS,,BS,,,,,
FACTIVA,,BS,,,,,
